text,sentiment
info polri ppkm darurat sesuai inmendagri <NUM>  tahun <NUM>  dimana resepsi pernikahan dihadiri maksimal <NUM>  tiga puluh  orang dengan kesehatan secara lebih ketat dan tidak menerapkan makan ditempat resepsi  penyediaan makanan hanya diperbolehkan dalam tempat tertutup dan untuk <URL>,2.0
<USERNAME> bolehh  keluarga aku vaksin semua ko nder,2.0
"Pemerintah telah menerapkan PPKM darurat. Ombudsman RI menyebut ada inkonsistensi dalam PPKM darurat, salah satunya soal pintu internasional yang masih dibuka. https://t.co/blA9VhQBCc",1.0
kan dah kantoi berapa ramai potong queue vaksin ,2.0
Vaksin semakin susah ya euy. Berebut.,1.0
<USERNAME> dari kronologinya emg seperti itu atau pa jokowi bicara seperti itu setelah pa luhut juga menyatakan bahwa covid tidak terkendali  ,1.0
<USERNAME> <USERNAME> kebnyakan org parno karena pembritaan ganas soal covid   sy dukung <USERNAME>,1.0
<USERNAME> metsaba leh wala corona w betkhaby,2.0
<USERNAME> <USERNAME> nah tolong bersuara mengenai hal tersebut bung  kami sebagai rakyat ragu  sebab banyak kasus yg lumpuh setelah vaksin  bentuk badan uji klinis yg independen  jgn karna sudah terlanjur dibeli dr cina kita dipaksa pake sinovac yg tidak diakui banyak negara itu  ,1.0
<USERNAME> <USERNAME> <USERNAME> lebih seru  lagi nanti buzzerp akan berteriak atm bank dki terkena virus corona,1.0
<USERNAME> karna banyak mafia oxigen dan obat² an serta vitamin  dukung pemerintah normalkan harga dipasaran  agar kondisi covid yang berat tak semakin berat  ,2.0
gara  gara ppkm aing ga bisa ketemu sama doi   ,2.0
<USERNAME> ppkm ya   ,2.0
<USERNAME> alhamdulillah  tmksh ayahnda jaga diri jgn skip srpn dn mkn ubat  kkcik vaksin ptg pkl <NUM>  <NUM> nnti  nie dh nk mula kls   kita jumpa lgi nnti  insyallah  aamiin  ,2.0
rekomendasi menu saat ppkm dari kopi lain hati  sayangku ini ada rekomendasi minuman buat kalian dirumah aja ya  biar makin semangat  ada menu kopi yang pastinya bikin moodboster banget  dan sore sore ini ada juga menu non kopi yang siap nemenin kamu  … <URL> <URL>,0.0
<USERNAME> smoga pemerintah tetap gagah menahan gempuran covid ini  persetan dg para   stupid  pancen glogok,1.0
kulihat ibu pertiwi  sedang bersusah hati  air matanya berlinang  mahgligai yg kau kenang    ,2.0
tak layak rasanya jika saya mengumpat karena kehilangan seseorang  semoga syahid bersama bayimu dik ike  jujur  tak menyangka covid  <NUM> akan membuat keluarga besar kami berduka  baru hamil <NUM> bulan  tanpa komorbid  sempat isoman  kemudian di icu <NUM> hari  dan tuhan lenih sayang dia <URL>,1.0
gaada temen vaksin bukan apa apa sih tar aing planga plongo gaada tmn ngobrol  ,2.0
santun pgi  slm sht penuh semangat  optimis indonesia pasti bisa atasi pandemi covid ini  semoga vaksin yg udh di berikat pada rakyat mampu jd benteng antibodi dan kekebalan imun kita  please jgn tebar berita hoak  agar masyarakat tenang jalani kehidupan ini  <URL>,0.0
<USERNAME> kerika pandemi belum mereda dan di saat kumelihat orang tak bermasker saat itulah hatiku menangis  ,1.0
ppkm di perpanjang lagi   ,2.0
selamat hari raya idul adha mots  walaupun masih dalam keadaan pandemi seperti ini  semoga kita selalu diberi kesehatan dan limpahan rahmat oleh  nya  stay healthy ya mots ,0.0
<USERNAME> saya tiap hari nangis ngelihat orang meninggal karena covid  baca twit tambah deras air mataku  ,1.0
<USERNAME> kalo udah vaksin banyak makan  minum sama tidur yaa,2.0
ppkm  perbanyak sholawat  perbanyak shodaqoh  kuatkan iman dan menjauhi maksiat,2.0
Buat para pengamat covid yang mengatakan ini tidak terkendali. Data sudah disiapkan oleh beliau. Anda Berani? https://t.co/2UFUy3AMLN,2.0
<USERNAME> lah tetanggaku  siapa aja yg masuk rs dibilang dicovidkan  mertua nya meninggal pun  dibilang dicovidkan  tp takziyah takut  itu orang nenangga  rumpi sanasini bawa bayi  ga pernah pake masker  smw berita  edukasi ttg covid ga mw baca  buat apa katanya,1.0
  secara keseluruhan kisah ini ditulis dalam situasi tanpa pandemi  pun diberi tanda multiverse  sekaligus akan menggunakan bahasa indonesia selama berinteraksi dan menulis   ,2.0
yang dapat tarikh awal pon tak cucuk vaksin lagi  hahahaha alahai,2.0
Mendagri Minta PKK Bergerak Cegah Stunting dan Kendalikan Pandemi Covid-19 https://t.co/QHhSNxQgak,2.0
presiden jokowi kembali mengingatkan kita semua untuk memakai masker  dengan memakai masker dan menjalankan protokol kesehatan lainnya  kita telah berkontribusi mencegah penyebaran covid  <NUM>  <URL>,0.0
eh  selamat pagi  happy weekend  sudah sarapan belum  karena ppkm  ngapel virtual aja ya nanti malam  jangan lupa prokes nya ,0.0
"Data Selasa lalu dilaporkan 47.899 infeksi baru, rekor tertinggi, naik dari 40.427 hari sebelumnya. Sementara itu kasus di India, turun menjadi 32.906 dari 37.154.

https://t.co/ryFnBPb3SJ",1.0
<NUM>  <NUM> pelajar diy divaksin covid  <NUM>  pakualam  semoga herd immunity terbentuk <URL> ppkm indonesia pulih <URL>,2.0
"@YulieReborn Siapa yg bilang covid tertangani ngaku . Ucapaan tdk sesuai Fakta

#StopMafiaObatAsing
#StopMafiaObatAsing",1.0
vaksin aman  ppkm indonesia sehat <URL>,2.0
saya bicara tentang “independensi” dokter  yang tak terlihat sejak awal pandemi  ,2.0
hari ke  <NUM> setelah gejala    hari ini balik ke society karena udah nggak ada  lagi di tubuh gue  ditambah hasil swab kemaren negatif sebagai penguat  jadi thread ini akan ditutup sampe di sini  semoga kita semua diberikan kesehatan  amin  jgn lupa vaksin  ,0.0
<USERNAME> <USERNAME> <USERNAME> <USERNAME> ini mah cocokologi mas  malah cenderung hoax  byk bgt anak muda yg gak ada komorbid tp kena covid  anak kecil yg tidak mengerti berita juga banyak yg meninggal   bahkan pernah tertinggi sedunia  soal interaksi obat penyebab kematian totally hoax  ,1.0
<USERNAME> paketku yg beli di <NUM>  <NUM> udah sampe di tgl <NUM> kemarin  masa ppkm tp samsek ga gerak,2.0
perpanjangan ppkm darurat  pilihan tepat kendalikan kasus covid  <NUM> <URL>,2.0
@yuwantino12 @prastow @febridiansyah @jokowi Betul semua Mas … tidak ada yg salah… yg salah yang mengartikan “vaksin gratis” artinya semua bakal gak berbayar… entah dibayar engara atau dibayar perusahaan 😊,2.0
ppkm   pelan pelan kita mati <URL>,2.0
mau hidup tentram nyaman gk marah  mute   covid    pandemi  dan tetek bengeknya  jangan lupa mute si doi  tong dipelongan wae wkwk,2.0
pemuda adat papua kecam sikap koalisi rakyat terkait penunjukan sekda  pahami aturan ppkm pulihkan indonesia  <URL>,2.0
lonjakan luar biasa kasus covid  <NUM> di as <URL>,2.0
bismillah  alhamdulillah  otw shalat ied adha <NUM> h  <NUM> m bareng mbah kung dengan prokes covid ketat di mesjid dekat rumah way jepara lampung timur bumei tuwah bepadan tercinta  minggu   <NUM>  <NUM>  <NUM>           <URL>,2.0
"Pemilik Warung di Medan, Tolak Penutupan Petugas PPKM Darurat
@edyrahmayadi1
@NawalLubis
@bobbynasution_
#Medan
#Simut
#SumateraUtara
#Siantar
#Sergai
#Indonesia
#IndonesiaMaju
https://t.co/DYON48At63 https://t.co/t9hVB3VoR8",1.0
bersama kita dorong kesuksesan pon xx papua  ppkm basmi covid <URL>,0.0
khofifah sampai memberikan contoh  bahwa ia pernah menyapa pasien covid  <NUM>  dengan menitip video call melalui perawat loh  ,2.0
selamat hari idul adha <NUM> dzulhijjah h  sedih tahun ke  <NUM> gabisa solat   semoga pandemi ini cepet selesaai  <URL>,2.0
<USERNAME> intinya sbg warga negara patuhi aturan  prokes dan jam buka tutup tmpat usaha  jgn main main dgn satgas covid  ,0.0
mimpi lg ikut vaksin sm semua temen kesayangan dan bener full team semuanya dr sahabat sekolah  kuliah huu kgn,2.0
<USERNAME> inggih pak ide yang sangat cemerlang untuk vaksin disekolah  karena anak itu paling manut sm gurunya  kalau mereka disuruh berangkat ke sekolah untuk vaksin pasti langsung berangkat  terima kasih pak ganjar,2.0
<USERNAME> jadi inget pas awal kelas <NUM> dibangun gedung baru buat nyambungin gedung yang kepisah uda seneng bgt bakal ada lab dan kelas baru  eh pas uda jadi malah libur setahun bahkan sampe uda lulus sekolah karna covid untung uda pernah lewatin pas mau ujian jadi ga rugi rugi amat,1.0
<NUM>  <NUM> polri sat lantas jakpus melaksanakan pengaturan pagi dan pembatasan mobilitas   amp  penyekatan bagi masyarakat dalam rangka ppkm darurat di tl  cempaka putih arah senen  situasi arus lalu lintas sekitar terpantau lancar  <URL> <USERNAME>,2.0
<USERNAME> mungkin sedang mempersiapkn sembako jatah ppkm  ,2.0
<USERNAME> ini efek pandemi  ,1.0
"@tvOneNews Welcome corona...

Selamat, yuk kita rayakan 👏🎉🎉🎉",2.0
@bonngbudi Mungkin sedang ada PPKM om😁,2.0
ane bkn org medis  tp dr paparan dr terawan   rdp komisi vii dpr jk vaksin nusantara ini dihalangi   amp  di tenggelam kan ane yakin negera ini sdg dikuasai para penjahat yg hanya mikirin duit bukan berpihak pd rakyat  semoga dpr pun jg berpihak pd rakyat  <URL>,1.0
<USERNAME> <NUM>  <NUM> persen masy akan tahan pd serangan covid tp <NUM>  <NUM> persen inj gak tahan shg perlu diproteksi,2.0
<USERNAME> <USERNAME> tidak mungkin tuhan berbicara langsung sama kalian  bs sj tuhan pakai presiden untuk menyelamatkanmu  jd patuhi sj aturan pemerintah  tuhan tdk hrs di sembah di rmh ibadah  org mati akibat covid itu di rawat di rmh sakit bukan di mesjid makanya matinya selalu di rmh skit  gblok  ,1.0
wapres ma’ruf amin  semua ormas islam sepakat idul adha di wilayah ppkm darurat dilakukan di rumah <URL> via <USERNAME>,2.0
bulog siapkan <NUM>  <NUM> ton beras bansos di masa ppkm – kompas  <URL> <URL>,1.0
Anggota DPR RI Sesalkan Kebijakan Kemenkes Soal Komersialisasi Vaksin Gotong Royong https://t.co/BDjwo8TJ3e via @BeritaBaruJogja @FraksiPKB @DPP_PKB @Beritabaruco,1.0
<USERNAME> pandemi semua nya kena uyy  jualan sesuai jadwal dan aturan yg sudah di sepakati  gue rasa ngga akan ada masalah sidak²  mereka sidak karena melanggar ae  ,1.0
a good news to read dipagi harini  selain perkhabaran vaksin sinovac ok utk masuk ke umrah  ,2.0
masa presiden <USERNAME> tidak tau kalau demonstrasi menolak ppkm di bandung dilakukan oleh orang  orang yang berada dibawah komando salah satu pembantu presiden sendiri   pecat menteri nadiem makarim  <URL>,1.0
"@CNNIndonesia Lebih baik pelajari dan teliti dulu tentang campuran vaksin, jangan manusia langsung mjd tempat uji. Sebaiknya kebijakan itu diambil jangan berdasar rasa panik, kita sadar semua panik.",2.0
<USERNAME> mornin  testi dong abis vaksin,2.0
di masa pandemi covid  <NUM>  masyarakat menghadapi ketidakpastian dan ketidaknyamanan tinggi  maka  pejabat publik diingatkan untuk memiliki sensitivitas serta empati yang tinggi     <USERNAME>  pandemi  pejabat publik  dan sensitivitas komunikasi <URL> <URL>,2.0
<USERNAME> udah kaya gini dan msh ada yg blg   covid ga sebahaya itu  sumpah emosi bgt  disini tiap hari ada kabar duka minimal <NUM>  bahkan sehari org meninggal  igd  rumah sakit  pada penuh semua  tp msh aja denial  dikira sakit amandel grgr minum es doang bs kyk gini akibatnya  ,1.0
<USERNAME> payah la ckp dgn awk ni ye  berapa org yg x bernasib baik badan mereka x mampu terima vaksin mcm nenek tu  berapa ramai pulak warga emas yg lepas vaksin xde apa malah ada yg terjangkit covid tp sihat sedia kala selepas berapa hari    yg sihat lg tinggi dr angka kematian  ,1.0
pas banget nih sule  cerdas menggambarkan kondisi indonesia saat pandemi ini <URL>,2.0
kok ga ada ya kasus covid dipesantren  mengheran,1.0
<USERNAME> tolong satgas covid orang yg ada di foto itu di cidukin semua,1.0
jumlah penumpang ka lokal bandung raya anjlok di masa ppkm darurat <URL>,2.0
sdh mirip mie kober  rasa pedas nya akai level  rezim ini hanya mampu melahirkan istilah baru disaat pandemi <URL>,1.0
katanya di angap flu biasa saya baca indomie samapai tumpah <URL>,2.0
"Rental Wastafel Portable Event Masa Pandemi PPKM dan untuk event lainnya Jabodetabek #sewaalatpesta #promoterbaru #promojuli #promo2021 #eventorganizer #wastafelportable #sewawastafelportable #PPKMDarurat 

https://t.co/pVf8WQbVd3 https://t.co/GK7qdyV93Z",2.0
klo pas sebelum ppkm  pagi udah hujan itu   musibah  buat kita para pedagang es teh poci nd penjual minuman  es yg lain  tp sekarang jadi berkah  coz gak ngapain   yg penting stok rokok <NUM> minggu kedepan masih aman terkendali  nasib pengangguran  <URL>,1.0
@ustadchen Kl atasan udh pada dapet lagi nurani dan jiwa sosialnya. Baru ppkm mau brp minggu asal dikasih bansos buat hidup sehari2 rakyat jg insyaAllah pada nurut. Kl rakyat yg gak nurut getok aja palanya biar sadar. Trs mending amanin deh orang/akun2 teori konspirasi gajelas titisan dajal,2.0
ayo dptkan vaksin selagi bisa    tolong daerahku cepet restockk vaksinnya   <URL>,0.0
<USERNAME> maaf bang <USERNAME> tanya  saya rakyat awam  apakah pemerintah sudah benar benar dg tegas menerapkan uu no  <NUM> tahun <NUM>  apakah uu tsb bs mndasari pmerintah untuk tegas melarang  mengatur  aturan apa yg dipakai dlm pandemi ini  ,1.0
<USERNAME> <USERNAME> kata salah <NUM> politisi partai itu vaksin hibah   ko di suruh bayar,1.0
yang berkoar habis di vaksin lalu meninggal  kenapa di indonesia saja ya  ,1.0
semarang udah ada vaksin buat 12-17 tahun tp daftarnya dimana sih?,0.0
delay due to covid  aku sudah gak tahan mau jejeritan   gt  lt  <URL>,2.0
allah pagi dapat berita kawan baik positive covid   please wehhh jaga diri  covid tu wujud  ,2.0
idul adha kali ini sangat singkat  padat  dan jelas  tp khutbah bapak yg nyadari w     nabi ibrahim dan anaknya ikhlas ketika nabi ibrahim akan menyembelih anknya  kita sebagai manusia juga harus ikhlas ketika diterpa ujian corona ini karena semua yg di dunia ini milik allah  ,2.0
"Pak jokowi..
Menterimu macam2 banget...
Ada yg ngancam buang ke papua
Ada yg bilang corona terkendali
Ada yg mau jualan vaksin
Ada yg ke amerika utk vaksin (benarkah?)

Sementara rakyat bingung cari nafkah..
Utk vaksin antrinya gak karuan.. https://t.co/Gblc8HUmuX",1.0
vaksin gasakit kan ya,2.0
"Hari ni aku morning person waknat, japgi nak vaksin",2.0
catat  <NUM> ruas jalan di sukoharjo ditutup selama ppkm mikro  jadi perhatian pangdam dan kapolda <URL>,2.0
<USERNAME> data penduduk gak bagus  tpi data pasien covid positif  negatif dan meninggal kok bs bgs ya   bahkan tiap hri slalu keluar datanya  hahhaa,1.0
sedikitnya <NUM> tewas dan <NUM> terluka dalam kebakaran rs corona di kota nassiriya irak <URL>,2.0
<USERNAME> <USERNAME> <USERNAME> kalau transjakarta masih belum bisa katanya  harus tetap menggunakan strp  mau vaksin aja susah ya,1.0
<USERNAME> dok bantu jawab saya dong  kan saya kemaren vaksin pertama dikasih astrazeneca pada tanggal <NUM> juni  lalu di tulis saya dpt vaksin kedua tanggal <NUM> september  nah kan bacaan di kartu vaksinasi nya kan   disarankan menerima vaksinasi dilokasi yg sama pada kunjungan <NUM> dan <NUM>  ,2.0
vaksin krn takut covid  vaksin krn takut ga dapet tukin ,2.0
Kasian temenku udh sampe di pusat malah kena covid 😭,1.0
"Cuba , Afrika Selatan dll rusuh krn pemerintah nya tdk becus atasi Pandemi https://t.co/TVdtLl2wtA",1.0
  tak percaya corona  pria nekat hirup nafas pasien covid  <NUM> meninggal  luar biasa  ,2.0
<USERNAME> efek kelamaan ppkm kali   miris,1.0
<USERNAME> bilang aja itu kemungkinan gejala corona  mending gausah ngelayat dulu  ,1.0
<NUM>  <NUM>  lokasi pengendalian mobilitas di jalan tol jasa marga group dalam rangka penerapan ppkm darurat  <URL> <USERNAME>,2.0
awal covid  <NUM>  goyang ubur  lagi krisis  nnton sinetron  gw jadi makin paham knp covid  <NUM> di indonesia gak kelar  pejabatnya model begini  <URL>,1.0
aku sudah kehilangan beberapa orang terdekat karena covid ini  semoga hari ini akan lebih baik lagi   jaga kesehatan semua  yang sedang berjuang  fighting kalian pasti bisa    slwrspn ya  untuk yg dm karena blm ada hp  wa  twitter ada dilaptop jadi gabisa intens bales,2.0
gubernur jatim meluncurkan gerakan serentak lawan covid  <NUM> di kabupaten tuban,2.0
<USERNAME> <USERNAME> ini bukan masalah sakit hati tolol loe  ini masalah nya presiden dan jajarannya pagi tahu sore tempe tidak konsisten sedari awal terlalu meremehkan pandemi  negara laen pada nutup penerbangan di indo malah welcome begitu kemasukan virusnya pada blingsatan,1.0
<USERNAME> <USERNAME> coba deh hilangin pikiran negatif nya mas  saya pakai vaksin gratis astra aja  ngapain bayar  kan saya udah bilang merk vaksin nya berbeda  udah pake yang gratis aja  ,1.0
<USERNAME> semoga hari raya tahun depan kita diizinkan untuk merayakan nya seperti tahun  tahun sebelum virus covid  <NUM> ada  ,2.0
padahal revisinya begini    tempat ibadah tidak mengadakan kegiatan peribadatan atau keagamaan berjamaah selama masa penerapan ppkm darurat    dan mengoptimalkan pelaksanaan ibadah di rumah  ‼‼‼‼ <URL>,2.0
"@aik_arif sabar..
ikhlas..
aku jg kehilangan adik ipar sebab covid..
sdh takdir Allah SWT..",2.0
bkn tegaskan seleksi cpns tak perlu pakai sertifikat vaksin covid  <NUM>  bkn tegaskan seleksi cpns tak perlu pakai sertifikat vaksin covid  <NUM>  peserta wajib penuhi protokel kesetan atau prokes ketat  pakai masker <URL> <URL>,2.0
#Tol_Jagorawi Setelah Keluar Gadog arah Puncak DIBERLAKUKAN Penyekatan PPKM Darurat secara Situasional.,2.0
<USERNAME> <USERNAME> silahkan  resiko masing  menunda vaksinasi  resiko mati terpapar covid makin tinggi  ,1.0
<USERNAME> <USERNAME> <USERNAME> sama sepupu saya juga saya bantah waktu dia blg tetangga kena covid setelah vaksin  ,1.0
tetap jaga jarak disaat beraktivitas  dan selalu menjaga kebersihan agar terhindar dari namanya virus covid  <NUM>  <USERNAME>     <URL>,0.0
<USERNAME> <USERNAME> wkwkwkkw ppkm ga berlaku buat yg lagi bucin,2.0
hijrah belum berakhir sebelum berakhir nya taubat   dan taubat tidak akan berakhir sebelum matahari terbit dari barat   seruan taubat yang minim di tengah kepungan pandemi yang tak tahu kapan berakhir   <URL>,1.0
itulah mengapa pandemi di indonesia ini susah banget  karena yang didengar hanya hal  hal yang mau didengar  jempol disana sini itu gampang banget share  aku masih sangat amat maklum jika yang tidak teredukasi adalah mereka yang usia nya sudah tua  jauh dari segala informasi,1.0
serius ini gua ngurus kuliah g slsai slsai harusnya suruh ke kampus tapi lagi lockdown,2.0
"@Eve2Eve8 @IbnuTasrip Sodaraku kecelakaan, pas di bawa ke RS dia dibilang covid. Padahal udah jelas jelas berdarah di hidung bukan flu",2.0
<USERNAME> jika melakukan check  in ulang kembali di bandara soekarno  hatta maka wajib pcr x jam terhitung dari waktu pengambilan sampel   amp  menunjukkan sertifikat  kartu vaksin minimal dosis pertama    <NUM>  ,0.0
okla  izinkan aku bagi pendapat  aku dah baca dah  <NUM>  uel tak salam and tegur dia maybe sebab covid  mana boleh salam  ok bye  tutup pendapat <URL>,2.0
hadiri gerai vaksin presisi polri yang akan dilaksanakan pada   hari   jumat tanggal   <NUM> juli <NUM> jam    <NUM>  <NUM>   <NUM>  <NUM> wita tempat   sman <NUM> marga  desa kuwum  marga tabanan  ìnasicovid    <URL>,2.0
wakil gubernur dki jakarta menyayangkan masih adanya masjid yang masih saja mengadakan ibadah shalat jum  at yang selama ppkm darurat di larang keras  hal ini terbukti dengan banyaknya jamaah shalat jum  at di <NUM> masjid di daerah sunter jakarta utara pada jumat kemarin,2.0
<USERNAME> dalam video tsb  polisi bangsat itu ditenangkan oleh anggota marinir  saya yakin tanpa anggota tni  petugas ppkm dimanapun akan dilawan warga  ,1.0
<NUM>  <NUM> pelaksanaan pembatasan mobilitas pada masa ppkm darurat  sementara semanggi atas jl  gatot subroto arah ke bunderan senayan  slipi lalin dialuhkan  <URL>,2.0
ada <NUM> fiilm indonesia rilis sepanjang pandemi <URL>,2.0
talian vaksin ni bila je tak sibuk  helpdesk pulak hari baru boleh membantu  hmm gasaklah labu  ,2.0
pemerintah harus evaluasi ulang vaksinasi covid  sebagai syarat utama pelayanan publik  orang minta di vaksin covid  demi mendapatkan sertifikat vaksin covid  itu merupakan kejahatan atas imunitas alamiah manusia  ,1.0
<USERNAME> aplikasinya sangat bermanfaat ya ketika kondisi ppkm seperti saat ini bisa mengakses,2.0
"""Mau Ngapain Ya hari ini""
Kataku pada diriku sendiri sewaktu PPKM",2.0
<USERNAME> normatif statement nya  tangkep tuh org goblok yg bisikin elo yg suruh elo ngomong covid terkendali,1.0
Semakin menjauhi berita tentang kisruh PPKM tapi kok ada aja ya ngeliat berita kisruh penertiban para pedagang hadehhh kalo kata pak anu mah bae bae aje bro kalem santuy.....haha tai,2.0
PPKM(Pelan Pelan Kita Mati),2.0
<USERNAME> terima kasih banyak pak  semangat selalu menebar kebaikan di masa pandemi  yuk   taati ppkm dan makan soto betawi pake telur asin   ehh vaksin mksdnya  abis itu dengerin lagu barunya bts   pasti tambah semangat deh  <URL>,0.0
<USERNAME> <USERNAME> sy percaya nakes bekerja menolong   amp  mengalami hari berat disaat pandemi  bila disebut kebencian lbih akibat inkonsistensi kebijakan  pemaksaan dg tidak mengedepankan edukasi   amp  tranparansi  serta yg tega memanfaatkan pandemi  sm spt sulitnya mengamini menggergaji gembok kardus  ,1.0
<USERNAME> <USERNAME> den   kalo ga ada pandemi   dan kontra dari sono   udah jadi kaleee balapannya  ga berbobot dah beritanya,1.0
<USERNAME> bang  belum mirip  harusnya pake kata  uang untuk pandemi digunakan untuk melunasi hutang  ,1.0
tapi serius deh  ppkm kali ini rasanya kaya lockdown banget tapi uluran bantuan dari pemerintah kaya ngga ada tuh gimana ya  ,1.0
jarene nek ono sing jipuk keuntungan seko vaksin meh ditekani pak pol,2.0
ampe skrg gye masih bngung vaksin yg bagus yg mana  sinopak atau astra  atapi bagendah yg menting gue dah paksin,2.0
PPKM jadi diperpanjang gak ya? 😐,2.0
mata najwa   harap sabar masih darurat   part <NUM>  <URL>  presiden jokowi mengingatkan pemerintah agar sensitif terhadap kondisi laju penyebaran covid  <NUM> di indonesia  ,2.0
<USERNAME> thank u  lo udh vaksin  ,2.0
<USERNAME> para penolak vaksin bicara vaksin  lucu  ,1.0
update vaksinasi covid  <NUM> di sulteng  palu jadi daerah dengan capaian tertinggi  dosis i <NUM>  <NUM>     tribun palu <URL>,2.0
berdasarkan instruksi menteri dalam negeri nomor <NUM> tahun <NUM>  masa perpanjangan ppkm darurat kini bernama   ppkm level <NUM> covid  <NUM>  <URL>,2.0
<USERNAME> penyebab asli pasien covid susah nafas waktu di rs,2.0
