text,intent
janji  janji penanganan corona sekadar pemanis  setahun lebih berlalu  gelombang tsunami covid  <NUM> justru makin menggebu  ,3.0
@kamekpalala Katanya panca silakan sakti. Ko gak bisa ngusir corona ya,4.0
banjarmasin ppkm kah   ,4.0
nenek adalah orang yg paling rentan d keluarga kami  hampir semua anggota keluarga sudah vaksin  setidaknya <NUM> dosis  beliau punya komorbid yang blum sempat mendapat surat rekomendasi dr dr  jantung beliau,3.0
polsek jetis salurkan bansos ppkm darurat  berita lengkap klik di    <URL>  <USERNAME>       <URL>,3.0
serumah semua yg belum vaksin cuma aku  ya gimana ga ada prioritas vaksin sih masa harus ngantri  kalo ada yg berbayar gpp deh gausah perlu ngantri  parno jg ngantri lama dket org banyak pula hmmm pdhl pgn banget vaksin,3.0
pemerintah telah memutuskan memperpanjang ppkm darurat  menanggapi keputusan itu  gubernur diy sultan hamengku buwono x berjanji akan mempercepat penyaluran bantuan sosial untuk meringankan beban warga terdampak  <USERNAME>   <URL>,3.0
selama ppkm berat gw naik jadi <NUM> kg  serasa kelas lightweight di ufc  bismillah mukul mcgregor <URL>,4.0
sertai mangleswary subramaniam  pengurus perkhidmatan wcc  dan sukarelawan kemanusian dari ngo lain bersama ahli penyelidik dari fssk untuk bincangkan   impak pandemik covid  <NUM>  pernah kita peduli  <URL>,3.0
waktu selama dua tahun ini  rasanya mencukupi bagi mereka yang memiliki kepekaan dan kejujuran  untuk dengan mudah mengakui bahwa pandemi itu nyata adanya  <URL>,3.0
corona bisa hilang sekarang ga sihhhh,4.0
ppkm pagi pagi kepikiran menikah  ,4.0
<USERNAME> jadi takut nak vaksin next week,4.0
herd immunity alami atau by vaksin   <URL>,4.0
kegiatan ppkm berbasis mikro  penyemprotan disinfektan untuk antisipasi penyebaran virus corona   covid  <NUM>  diwil  kel  kuala kec  singkawang barat  <USERNAME>      polres singkawang   salam jkk <URL>,3.0
mana udah ldr  ehh ada ppkm lagi  ujiannya dobel  ,4.0
jangan lupa untuk vaksin dan memakai double mask ya guys  i love you guys so much  ,4.0
jog beli dried flower yg tokonya buka pas ppkm gini dimana ya  ,4.0
<USERNAME> entahlah   g habis pikir dng pikiran para pemangku kebijakan yg dapurnya tetap bs ngebul meski di ppkm setahun   jd g mikir dapur rakyat   seakan semua dapur sama dng merka,0.0
di tengah lonjakan kasus covid  <NUM> yang sudah berlangsung sejak akhir juni lalu  pemerintah pun memutuskan menerapkan pemberlakuan pembatasan kegiatan masyarakat atau ppkm darurat  ppkm ini sudah berjalan sejak <NUM> hari yang lalu  <URL>  jangan lupa share ya  <URL>,3.0
  berikut mekanisme pelaksanaan pelayanan penerbitan sim di satpas polda metro jaya dalam masa pemberlakuan ppkm darurat  via <USERNAME> <URL>,3.0
<USERNAME> sya sebagai rakyat indonesia setuju dengan peraturan ppkm darurat yg di buat oleh pemerintah pusat  untk mengurangi penyebaran covid <NUM> yg begituh cepat di indonesia  tpi pemerintah juga harus memikirkan ekonomi ntk masyrakat bawah  saat ini masyrakat blm menerima bantuan  ,0.0
kali ini mengapa ya  kecerdasan ku terganggu cacingan krn covid <NUM>     <URL>,4.0
luhut  asrama haji pondok gede siap digunakan untuk rsd pasien covid  <NUM> <URL>,3.0
tuit kepanjangan ppkm akan muncul setiap hari sampe ppkm ini selesai jangan risih yak  ,4.0
pon papua siap digelar  ppkm pulihkan negeri <URL>,3.0
@adityajuliannn Semangat nabung tapi kerjanya lagi di stop karena ppkm eh jadinya ga bisa nabung nabung 😟,3.0
"@LuqmanBeeNKRI @Uki23 @KPK_RI @jokowi @KemenkesRI @KemenBUMN @PerekonomianRI @kemenkomarves Bukan soal bgt... Kita yang mau boster vaksin utk supaya lebih kuat kan bisa tanpa harus memintak ke pada pemerintah, dan lagian yang bayar kan buat mereka yang mampu, yang tidak mampu dan tidak mau kan boleh aja.. Jadi apa salahnya..???",1.0
"@NovenNancy 🤣🤣🤣
Sama dong. Sejak PPKM banyak diem di rumah.
Blanja pesen via WA ke tukang sayur keliling.
Makan sering goput jg 😅

Disini yg isoman pada berjemur di jalanan. Horor... 😫😫",0.0
<USERNAME> <USERNAME> <USERNAME> weh mui kasi bubar aja buang buang anggaran gak ada nilai tambah malah bikin kisruh,1.0
<USERNAME> iya saya akan mengenang seumur hidup  ada banyak kader partai yg kena ott dana bansos di tengah pandemi  ngembat duit asuransi jiwasraya  asuransi asabri etc  nilainya berlipat drpd kerugian di hambalang  dan ni orang ga ada bacotannya  hebat kan  ,0.0
<USERNAME> <USERNAME> siapa yang bilang ga bagus  cm bilang kenyataan klo covid per hari bisa naik turun  semua berharap turun,1.0
"Presiden RI Joko Widodo memantau kegiatan vaksinasi COVID-19 yang dilakukan 14 Provinsi

Dukung Vaksinasi Indonesia https://t.co/PXzpHfEoap",3.0
vaksinasi adl usaha agar jika terinfeksi gejala tidak berat  sehingga rumah sakit bisa ttp optimal melayani psien covid yg berat dan melayani pasien non covid dgn normal  kuncinya ttp satu  protokol kesehatan  pakai masker dimanapun anda beraktivitas dan jangan berkerumun <URL>,3.0
apa guna kecanggihan qr sertif vaksin  pcr softfile  surat dinas softfile  app track vaksin  kalo ujungnya kembali lagi ke   harus di print ya kak   <URL>,4.0
ngga solat ied selain ppkm  ya karena males juga sie,4.0
katanya temen tapi ko ppkm  pelan pelan kntl masuk  ,4.0
ahli  jangan takut dengan pasien covid meninggal  anda bisa menyentuh dan memandikannya <URL>    <URL>,3.0
<USERNAME> <NUM>  keluarga besar ku sama orang  orang yang aku sayang sehat semuaa <NUM>  sekolah offline <NUM>  pandemi berakhir,4.0
innalillahi wa  innailaihi rojiun  kasus positif tembus rekor baru all time high   ath  jd <NUM>  <NUM>  akan semakin terus ditembus resistant kasus positif  kemungkinan akibat vaksin  yg meninggal rata sdh an  makin ngerik aja kalo tembus k   apalagi k   <URL> <URL>,3.0
payah komunikasinya jelek bangeeet  tibang bilang   barang terhambat ppkm  aja harus dibawelin dulu  itupun yg ngomongnya harus diwakilin orang lain  padahal kalau dari awal bilang begitu jg w bakal ngertiin  ini mah malah ngejanjiin mulu tp ga jelas kepastiannya  ,1.0
di daerah sini bebas aja ada pawai so called ritual atau apalah yang ngumpul ratusan orang lalu pada jalan rame di jalanan  katanya ppkm katanya prokes  entahlah  ,1.0
<USERNAME> nanti vaksin dia datang bau kencing bro  ,4.0
<USERNAME> patuh aturan  pandemi bubar,4.0
<USERNAME> <USERNAME> semoga kalian yang mencaci maki dokter dan nakes atas iktiar penyembuhan tapi kalian dustakan   ya allah beri mereka kesempatan para pemfitnah itu  covid akut dengan sesak nafas yang luar biasa   saturasi oksigen under <NUM>  biar mereka rasakan bagaimana sakit dan mulutnya terhenti,0.0
tetap berkinerja dan produktif meski dari rumah semoga covid <NUM> cepat berakhir aamiin ya robbal  alamiin  <USERNAME>  <USERNAME> <USERNAME> <USERNAME> <USERNAME>  <USERNAME>  <USERNAME> <USERNAME>  <USERNAME> <URL>,3.0
<USERNAME> udah nih alhamdulillah  kayaknya semalam efek vaksin aja,3.0
dilema ngurus covid atau anak hayam <URL>,4.0
batam dan tanjungpinang ditetapkan daerah ppkm darurat  berlaku mulai <NUM> juli   <URL>   <URL> <URL> <URL>,3.0
<USERNAME> karena lebih mudah menjalani penjara <NUM> hari daripada mendapatkan uang segitu besarnya dalam waktu <NUM> hari  yg buat peraturan belum pernah merasakan hidup dijalan saat pandemi,3.0
<USERNAME> aku udah vaksin  sinovac kmrn  hari pertama kaya laper terus mgantuk  sengaja istirahat dulu  niatnya dua hari  eh besoknya udah dapet wa dospem  jadi cuma istirahat sehari wkwkwk  hari ke <NUM> sama <NUM> sih aku agak parah pusing sama mual  ,3.0
barangkali ada yg butuh kambing qurban bisa dm ke sy khusus area bandung  stock sy masih ada <NUM> ekor lagi  jualan sepi krna ppkm,4.0
ditambah <NUM> minggu itu mending dari awal pandemi lockdwon aja ga siiiii,4.0
<USERNAME> rr presiden republik cilok  yuk disiplin ppkm  ,4.0
<USERNAME> di tambah terus  apakah sudah ada yg dapat saat ppkm kemaren ya  ,4.0
<USERNAME> ikut berdoa semoga pandemi lekas usai  sehat sehat ya echa sekeluarga  semoga selalu dalam lindungan allah swt,4.0
hotel  di surabaya lg pada asyik tuh harganya  buruan kelar deh ppkm  mau refreshing bentarrr  ,4.0
aku lagi ppkm  pagi  pagi kangen markli  ,4.0
ppkm darurat diperpanjang sampai masnya mengaku bersalah,3.0
<USERNAME> agustus taun lalu aku juga kena covid  gejalanya sama  sakit kepala yg luar biasa selama <NUM> mgg  tapi aku ga merasa makanan keasinan  hanya hambar aja sih  katanya gejala khas variant delta telinga mendenging  ,3.0
niat mau vaksin pulang pulang bawa penyakit kan lucu <URL>,4.0
cara sederhana jika saturasi oksigen rendah  pasien covid  <NUM> yang isolasi mandiri perlu ketahui                 <URL>,3.0
Syarat Naik Pesawat Lion Air Harus Menunjukkan Kartu Vaksin - realitarakyat https://t.co/NbFL6g0YM4,3.0
"Garis pertahanan akhir imunitas jebol, si covid mendobrak masuk dan terpaksa harus isolasi mandiri 😷🤒",3.0
kl ga ada covid ini gw lgsg ke rs nyari psikolog lah kayak gini nyari yg beneran psikolog gmn ya,4.0
gapaham lagi sama orang yg nipu oksigen  masker  pungli kuburan  jumawa soal covid  raganya doang ada jiwa dan nurani  nya udah dicabut kayanya  ,0.0
<USERNAME> <USERNAME> siapa yg lebih masuk akal berontak ppkm  rakyat yang diajarin becandain pandemi dengan nasi kucing  atau rakyat yang sejak awal tahun minta tutup penerbangan dari cina  spy virus gak masuk  ,1.0
WHO Ingatkan Negara Kaya Jangan Berlomba Pesan Vaksin Booster https://t.co/IooJUupnIQ,3.0
membantu penanganan covid  <NUM>  gw juga bantu edukasi terkait pencegahan penyakit spt  pakai masker  jaga jarak  cuci tangan  jaga kesehatan mental  nutrisi yg baik  dsb  ya  gw ga bagi  bagi terapi  kenapa  karena pengobatan itu sifatnya individual  ga baik diberikan sec massal,0.0
pemerintah meresmikan ppkm darurat dan berimbas kepada kebijakan ada atau tidaknya kegiatan publik  salah satu kebijakannya adalah menutup beberapa sarana publik dan sektor pekerjaan  termasuk penutupan rumah ibadah  yuk  simak di channel mmc  <URL> <URL>,3.0
dr faheem angkat bicara soal bahaya antibiotik untuk covid  <NUM> jika dikonsumsi sembarangan  alih  alih sembuh  justru bisa memicu banyak masalah seperti berikut  <URL>,3.0
bbrp minggu lalu ketemu temen yg domisili di uk  sblm ppkm  resto cukup padat tp ada sosial distancing  meja kami kira diameternya <NUM> meter  duduk berhadapan  otomatis buka masker pas makan  selesai  saya pulang  gak lama setelah itu lgsg diare parah  badan demam  kepala sakit  ,3.0
<USERNAME> seorang presiden itu sedang melaksanakan yg namanya delaygation of otority itu udah benar jangan diganggu gugat macamlah ngurusi covid <NUM> aj udah pusing bukan main  ,1.0
kapolsek karanglewas akp sutardiyana  sh dan anggota laks giat  ppkm darurat menghimbau kepada pemilik warung makan  pembeli yang membeli agar di bawa pulang bukan makan di tempat  dalam upaya percepatan penanganan covid  sabtu malam   <NUM>  <NUM>  <URL>,3.0
kenapa ya semenjak masuk kuliah anxiety gua makin makin bahkan sama hal yg gak jelas aja gua deg deg an ini gegara kelamaan pandemi apa emg kampus gua yg suka bikin beban sih,0.0
<USERNAME> kemungkinan terbesar kena di tempat vaksinnya sih kak  soalnya lumayan agak rame  dan ya gitu deh  yg mau vaksin ada yg gerombolan bawa temen dan mereka dempet  dempetan,3.0
<USERNAME> malaysia akan izinkan penjualan vaksin covid  <NUM> berbayar vaksin yang akan dijual  <URL>,3.0
ppkm   perbanyak sedekah  perbanyak sholawat  kuatkan iman  menjauhi maksiat      ,4.0
tweet di atas contoh kalo sekarang enggak ppkm dan gue balik ke rumah hari ini  ,4.0
ppkm   pandai pandai kamu memutar   golek dalan liyane  ,4.0
<USERNAME> <USERNAME> mantaffff pak ppkm tbh lg pak setahun lg kl perlu  ,4.0
<USERNAME> <USERNAME> tetap konsisten dr awal kampanye  main di lingkup mayat bukan nya urusin oksigen  tempat tidur di rmh sakit  vaksin  obat dan konyolnya masih banyak yg bela ga pake akal sehat,1.0
Selama pandemi bnyak plajaran positif yg bisa kita bagi. Mungkin benar atau bisa jadi sangat benar..,4.0
pembatasan ini mmg ngga enak  semacam hrs menunda expresi sesaat  mungkin itu yg kita rasakan bersama di ppkm  dan ini mmg hrs kita jalani sampa tujuan bersama tercapai  ,0.0
<USERNAME> kan sdh ada fatwa mui bos  protokol kopit  <URL>,4.0
@paa_piiyoo Jin jg ppkm wkwkwk,4.0
jancokkkk vaksin umum dimana yooo  mosok kuota e habis ket jam subuh  padahal bukae jam <NUM>,4.0
guna mendukung ppkm darurat  melaksanakan pemeriksaan dulu di pos penyekatan   <NUM> <URL>,3.0
Apa itu PPKM ?,5.0
<USERNAME> <USERNAME> awal pandemi diketatin malah byk yg caci maki  skrg giliran joko ketatin kasus meninggal banyak kasus tertular meledak  baru <USERNAME> minta hormati taati kontribusi  kenapa kalau ke <USERNAME>  pada caci maki bong  mikir  ,1.0
pagi pagi kepikiran  apa bener ya kalo virus covid ini memang   sengaja  di ciptain sama penguasa dunia  yaa ky keluarga terkaya dunia spt rothschild gitu gitu lah hanya untuk kesenangan mereka melihat   live  drama kehidupan  kurang lebih kaya film   the purge  anarchy  ,0.0
moots hari ini aku vaksin doain side effectsnya gk banyak dan tetep sehatt  stay safeee semuaaa   ω  ,4.0
paket extra fooding ini diharapkan dapat membantu petugas menjaga kondisi tubuh saat bertugas selama ppkm darurat di lapangan  sehingga ke depan bontang diharap bebas dari zona merah  ⁣ ⁣ ⁣ ⁣ ⁣ ⁣ ,3.0
<USERNAME> benang kusut covid hanya dengan berserah kepada allah di rumah allah secara berjamaah sesuai tuntunan rasullah  byk yg meninggal krn covid dari penyakit bawaan  ,0.0
"@kabarklaten min , minta info rumah sakit yg masih nyediakan kamar untuk pasien covid min, bpak sya isoman tp udah pakai oksigen",5.0
saya mundur karena saya belum bisa kurangi orang meninggal karena corona <URL>,3.0
bebas kok tapi ppkm level hardcore <URL>,4.0
dampak pandemi memang memukul sektor ekonomi  lebih  lebih bagi rakyat yang berpenghasilan rendah  ,1.0
<USERNAME> solusi untuk yg ga percaya covid tp realitanya banyak yg sakit  bikin penyebab sendiri,0.0
berita virus corona data <NUM> negara <NUM> <URL>,4.0
<USERNAME> <USERNAME> tar kalo dibilang ga bisa diatur bilangnya kok nyalahin rakyat terus  tar kalo itu jd cluster baru dan banyak yg mokat bilangnya salahnya pemerintah ga bisa mengendalikan covid  pengen ku berkata kasar  ,1.0
waspada manuver politik pegawai kpk  ppkm basmi covid <URL>,4.0
<USERNAME> intinya kenapa negara kita tidak lepas dari covid  krna mmg kesadaran rakyat dan pejabatnya kurang baik dlm menjaga wabah dan ada sebagian yg gak percaya covid  ,0.0
menerimaa jasa cetak kartu vaksin  only rb   bolak  balik  ,4.0
bukankah presiden pernah menegaskan bahwa vaksin akan diberikan gratis kepada masyarakat  berbisnis dengan rakyat sendiri  <URL>,3.0
<USERNAME> eyka asal selangor  negeri champion kes covid skrg hahahaha  adoii  boleh je aini  nanti tanya je eyka apape  aini or husband ada join group malaysian in kb tak  ,4.0
asrama haji di pondok gede di jakarta timur yang terdiri atas lima gedung telah diubah menjadi rs darurat untuk penanganan covid  <NUM> denhan total hampir <NUM> tempat tidur   <URL>,3.0
ppkm pelan pelan kita mencintai pelan pelan kita menyayangi  hadeuh  buruan beli nasi uduk  keburu keabisan loooh  <URL>,4.0
<USERNAME> pernah nanya sama puskesmas tempat saya vaksin  maksimal jangka vaksin kedua dari tanggal yang uda ditetapkan <NUM> bulan  jadi gapapa katanya walau ga sesuai tanggal,3.0
<USERNAME> sampe kapan ya ppkm  ,4.0
<USERNAME> nitip jualan ya ka    btw aku julan baju nih  model dan motif nya lucu bgt bahanya juga adem  sekrng kan lagi ppkm dan hrs di rmh aja  jdi biar ttp nyaman d rmh yu pake baju dri jualanku   <URL>,4.0
lurah dipecat gegara gelar resepsi mukidi gagal tangani covid     <URL>,4.0
gw abis vaksin kok demam gini ya,3.0
including sepupu gue  haduh cape jangan sampe lu yang covid parah sampe masuk rs,4.0
vaksin aj jgn kbykn congor  emang lu ada pilihan apa  ,4.0
<USERNAME> lah yang katanaya bakal ada bantuan vaksin dari ln itu gmn  bayar juga  ,4.0
wkwk saya yg covid sakit hati liat begini <URL>,4.0
<USERNAME> terima kasih telah bersedia menunggu  sehubungan dengan penerapan ppkm darurat gaso yang berlokasi di pusat perbelanjaan  mall tidak beroperasi  silakan dapat menghubungi layanan wa service dengan nomor <NUM>  terima kasih    rahmi,4.0
ini persyaratan terbang seluruh bandara ap ii periode ppkm level <NUM> <URL>,3.0
allahu  sepupu aku meninggal sebab covid  engkau letakkanlah dia dikalangan orang yang beriman  ya allah  ,4.0
<USERNAME> yaitu  makanya indonesia susah maju  disuruh antri malah nyalip  disuruh dirumah  malah keluyuran  disuruh vaksin  gratis  eh angel  coba lihat negara tetangga  mereka tertib dan antri tanpa diawasi  semoga kita bisa hidup waras  ,0.0
GOR Matraman Akan Dilengkapi Wifi untuk Dukung Isolasi Mandiri Pasien Covid-19 - https://t.co/SI6Tv2Ba8i https://t.co/KDifsON3hB,2.0
dengan banyak sekatan perintah kawalan pergerakan dilaksanakan kerana wabak covid  <NUM>  hari raya idul adha   hari raya haji  korban  hari ini  akan menjadi lebih kurang sahaja daripada hari biasa  ini adalah kedua kalinya rakyat malaysia… <URL> ,3.0
salah satu kekurangan yg tampak dalam ppkm di tataran  petugas adalah tidak ada kata   sandi rahasia  yang di pahami bersama utk melewati area penyekatan  gimana atuh <URL>,1.0
"Dukungan APBN untuk PPKM darurat

#Bansos
#IndonesiaMaju https://t.co/KFlApUVMwI",4.0
alhamdulillah  masih ada rezeki dengan keluarga aidiladha ni  i almost lost my parents due to covid on last aidilfitri  kenangan pahit yg i takkan lupa  ,4.0
ayo gunakan masker saat berada di luar rumah  dan selalu menjaga jarak  sederhana namun mampu melindungimu dari covid  <NUM>  <USERNAME>     <URL>,3.0
<USERNAME> <USERNAME> bila tdk ada obat covid  berarti yg memberi obat macam itu salah  shg krn interaksi antar obat bisa menimbulkan keracunan  pointnya nutrisi hrs cukup utk meningkatkan imunitas shg dpt melawan virus  para pakar kesehatan hrs memberi pencerahan dlm hal ini utk solusi bkn polemik,3.0
<USERNAME> ayo gotong royong melawan pandemi  indonesia  bisa,3.0
<USERNAME> saya dulu malah mikir baru mau vaksin kalo udah ada yg berbayar  bkn banyak duit  tp merasa aman aja scr psikologis  tp skrg udh disuntik az sih  gratis di senayan hehe  ,3.0
