text,context,intent,sentiment
"@FaisalBasri Dari sekian protes keras rakyat, apa saja yg sdh di penuhi oleh pemerintah selama ini?
Dari berbagai UU..
Dari masalah pendidikan
Dari masalah pandemi
Semoga masalah vaksin dipenuhi..",0,0,2
"Yg dukung ajakan ini udh ga waras atau terlalu lelah dgn keadaan hingga mati rasa dan otak.

Gaperlu ditelaah dalem2 utk menilai benar atau salah. Liat kalimat ajakan utk mendoakan org kena covid aja udh salah. https://t.co/H7ObBCDFNk",2,0,1
Jadi apa pendapat pejuang lockdown? https://t.co/ZdykxEgSXs,2,0,2
"@priaduaanak @ernestprakasa Menurut saya, dr lois dibawa langsung ke UGD tempat isolasi pasien Covid-19 ..  dijadikan relawan disana, untuk nengok nengok pasien di UGD itu j .. mau ngk dia?",3,4,2
"@sosmedkeras Kenapa jadi nya benturin si kaya dn si miskin? Emang pemgusaha terima kalau ada ppkm,? 
Yg slh program pemerintah.. Yg gelud rakyat 
Syuuu",3,0,1
"Bangang amat. Kalau bodoh tu boleh tak duk diam. Belum kena lagi, kang ada yang doa kau kena covid baru tau https://t.co/1GRAc55LlS",1,0,1
"@CNNIndonesia Harusnya belajar dari HCQ waktu lalu, udah dipakai buat covid ditarik lagi kan karena banyak mudhoratnya. Kalo sampe ini juga begitu, dosa lho kita. Gimana pertanggungjawaban di akhirat. Jangan buru2 lah ngeluarin izin. Ampun deh.",3,4,2
"ppkm, pengen peluk kjung msungchan",2,0,1
"Sbnernya pas corona muncul gue kyk emg udh seprotect itu sih kek samsek ga keluar rumah semenjak lockdown dan psbb. Trs bru berkegiatan lg pas newnormal. Dn skrg ternyata situasi nya mkin parah dan seserem itu.Gue yg awal cuma sekedar,oh yauda as long gue pake masker dll gue aman",3,4,2
@VICE_ID Diam di rumah gak usah kemana-mana lagi PPKM Darurat,2,0,1
"@SathenaRandi Kak pernah dengar gak ada orang yg bilang covid itu hoax, vaksin berbahaya dll, wisata di bukak itu buat negara yg pandeminya sudah reda lagian kan buat income negara juga",3,3,2
"Tetap Jaga Protokol kesehatan saat PPKM darurat dan waspada terhadap kelompok yg gemar provikasi tekait Pandemi Covid 19.

#WaspadaProvokasiSaatPandemi https://t.co/5ECaEsAj0y",3,4,2
"MANGKAT PASAR TUKU SARAPAN
TENGAH NDALAN KETEMU SINGA 
CORONA MERUPAKAN PERINGATAN AJA NINGGALKE SHOLAT LAN DEDUNGA 

PATUHI PROKES DAN TETAP JAGA 5M 

@divisihumaspolri @humas_poldajateng https://t.co/obU4C17uvO",3,4,2
@febridiansyah Apa covid yang mengganas ini tidak ada kaitannya dengan VONIS IB HRS? Ummat jangan masak bodoh (dayus). Bala Allah turunkan jadi  merata karena semua pada DAYUS. Dayus itu adalah dosa. Masak bala sebegini hebat tidak ada campur tangan Allah? Kita masih ada iman atau sudah lepas?,0,3,0
Satgas menyebut bahwa Kenaikan Kasus Covid-19 mingguan sudah melambat #PPKMDaruratBerantasCovid https://t.co/Is6T8tJtwB,2,1,1
"Namun, yang saat ini yang masih belum terarasi dan masih terus diupayakan adalah suplai oksigen bagi masyarakat terpapar covid-19 dengan isolasi mandiri.",3,4,2
isoman dapet 5 hari kukira covid ternyata typhoid,1,4,2
"@profesor_saham Kemarin lihat di IG ada kasus suntik vaksin tapi gak dipencet, cuman ditusuk aja. 😳",0,0,1
"@ustadchen yang paling penting pemerintahnya harus sadar kalo ini beneran udah parah, jgn malah dimakan sendiri duitnya :)) harus tegas  kalo bikin peraturan tapi kebutuhan rakyat juga harus dipenuhi, perbanyak vaksin, sama support nakes selalu.. bukannya malah egois",1,4,2
mo vaksin lagi🥺,2,1,1
Pagipagi udah ada yg bikin kesel aja hfft liat sg temen nongkrong di cafe haha hihi ga penting ga pake masker padahal lg ppkm hhfft,3,4,2
wibu dari jalur pandemi kali. https://t.co/J45kRdYLS3,1,1,1
"Vaksin rasa ngantri sembako, padahal ini jam 7 pagi 🙂",1,3,2
adek w hari ini vaksin di sekulnya https://t.co/FOGDYjRgko,0,3,2
"hi guys apa kabar kalian semua? semoga semuanya dalam keadaan baik"" saja yahhh. seperti yg sudah kita lakukan saat ini kita semua lagi dalam masa PPKM Darurat Jawa Bali yang sudah dan akan berlangsung dari tgl 3-20 Juli 2021.",1,1,1
"@DreW_JaKoB_WolF @VIVAcoid @jokowi @DPR_RI @KemenkesRI @BNPB_Indonesia @kemenkomarves Vaksin di daerah antri nya byk. Selasa lalu,ada jadwal vaksin. Tapi dibatasi sehari hanya memberikan vaksin utk 100 orang. Vaksin dimulai jam 9, sy dtg jam 8 ternyata 100 orang sdh terpenuhi. Saya dtg besok nya lg jam 7, pun 100 orang sdh di dapat.",0,3,1
"Warga Tengger ...

Kesal Upacara Adat Dibubarkan Saat PPKM Darurat, Warga Merusak Bangunan Desa Halaman all - https://t.co/dNSqtbeSFW https://t.co/9Ql4taCXwQ",1,4,2
"@csanranger Iyaa, padahal waktu vaksin pertama nggak sakit",0,0,1
"Akhirnya dengan hukum alami telah di lockdown kecuali pembawa virus

TERBALIK...¡¡¡¿",3,4,2
"Fitlistners, Simak dan Ikuti FitRadio Semarang #StayFitForLife #RadioKesehatan #HalloPuskesmas #Puskesmas #Ngemplak #Homecare #Pandemi @PKM_Ngemplak @RadioKesehatan @Hakam81564423 @PromkesJateng @ditpromkes @dkksemarang @p2ptmkemenkesRI @KemenkesRI https://t.co/P9Iab5OdpW",0,3,2
"@chatimers Iya sih meskipun dibuka, tp lebih ketat aturannya. Full vaksin lagi.",0,3,0
Sri Mulyani sudah membebaskan Pajak Impor Oksigen hingga 'Obat' untuk COVID-19 #PPKMDaruratBerantasCovid https://t.co/DM22wkujcG,3,4,2
ppkm. pagi pagi kangen msungchan,3,4,2
Ya Allah malas banget adek w minta temani vaksin 😩,1,0,2
"@unytok @jokowi Smoga dilancarkan ya mbak Vaksinasinya

Aminnn,,, smoga sgera merata utk penerima Vaksin Covid-19 nya 🙏",0,1,2
"@FerdinandHaean3 Ditempatku Lockdown hampir 2 bulan.
Dan warganya lumayan patuh
Yg ada kasus naik terus 2 hari ini tinggi bnget.
Memang ada bbrp sektor pabrik yg blh buka.

Apalagi di Indonesia yg warganya bikin tepok jidat 😩

Tapi suasana Politiknya 
Sama panasnya.",3,2,0
"LOCKDOWN HIDUPKAN MIHRAB DI RUMAH EDISI KHAS AIDILADHA HARI 2

GELOMBANG TASBIH

Tasbih merupakan salah satu tanda kita hamba kepada Allah SWT. Jadi, ayuh bertasbih dan sentiasa mengingati kekuasaan Allah SWT. 

#TickTalkTV
#HidupkanMihrabDiRumah
#EdisiKhasAidiladha https://t.co/Ke1AoMhvfc",3,4,2
"KAPOLRES WAJO POLDA SULSEL BERGABUNG BERSAMA DALAM HENING CIPTA INDONESIA

#PanjatkanDoaBersama
Bangkit Lawan Pandemi https://t.co/Bw1auzNnCd",1,1,1
"finallyyy setelah vaksin yg lama bgt kek study tour, gue bisa balik belajar lg😭",3,4,2
Ppkm. Pelan-pelan kita menggendut. 😪,3,4,2
@detikcom Bisnis atau COVID-19,3,4,2
@amirakushairi Sebab dia bodoh tak percaya Covid,2,1,1
"Situasi pandemi di NKRI:
Mengawali pagi dengan innalillahi",1,2,0
@detikcom Pejabat2 ini gampang banget ngeluarin statement saya positif covid. Emang rutin tiap bulan PCR ya?,0,1,1
Sementara ini masih aman belum sampe yang ekstrem sih ayo semangat sembuh btw ini vaksin ke 2 ya! Vaksinnya di Puskesmas Pademawu,1,2,0
"@SINDOnews Pemerintah jangan melululu memikirkan PPKM ""hukum denda pelarang"" PIKIRIN ISI PERUT RAKYAT PEDAGAN USAHAWAN MANDIRI... sekali subsidi malah ke yg dah dapat GAJIH RUTIN... Otak jalanin..",3,4,2
Silahkan dicoba hubungi Babinsa masing2 kelurahan untuk menanyakan perihal vaksin https://t.co/beX4ey0og5,3,4,2
"@Lis_List Halo kak, makasi utk giveawaynya ya. Semangat utk kita semua dalam menjalani masa pandemi ini. Semoga kita diberikan kekuatan dan kesehatan selalu dalam menjalani hari. May God bless us 🥺✨",1,1,1
PPKM = pelan-pelan ku merindukanmu,3,4,2
@panca66 @msaid_didu Gapapa kan dapat cuan dari jualan vaksin ke rakyatnya.,3,4,2
Ppkm yg kena mentalnya,3,4,2
"Akan tiba saatnya dimana tiap bangun tidur, kukan kecup keningmu sebelum kamu heuay yang calangapnya seperti kudanil yang lagi hamil itu.

Maylep ❤😘

•••
Kamis Pagi
Satpol PP
Viralkan
PPKM",0,1,1
@florieliciouss @aniesbaswedan opo bedane sama lockdown cak,0,2,2
PPKM(Pelan Pelan Kita Mati),3,4,2
"Klo kabar covid dirasa terlalu menyeramkan ya buat campaign dengan membangun empati ke nakes dan pedagang2 kecil.

Sama tokoh anime ya bagus, tapi itu ga cukup.",2,0,2
"Kala pandemi, anak menjadi bagian perjuangan. Tolak ukur setelah ini bagaimana generasi selanjutnya tetap hidup; menghirup oksigen yang sama, alam yang asri, kecukupan pangan, dan ketenangan bernegara. Bukan malah menyambung hidup sendiri dari nafas anak yang berhenti.",3,4,2
"Di pandemi begini, masih punya penghasilan stabil yang cukup buat nafkahin diri sendiri tuh uda privilege.",3,4,2
"@sluttyrx Ciye, pasti gara2 ppkm :v",2,1,1
Sudah ditahap bener-bener muak sama berita covid wkwkw,0,1,1
"Ppkm,para pencari kerja menangis😱😰😨😭😭 https://t.co/XYJeO7A5FO",0,1,1
"@ManoharaSekar @jokowi iyalah, pemerintah kerjanya menyengsarakan rakyat. makanya kerjanya digagalkan. 
Cth : TKA China yang ga pernah dijawab. kenapa saat pandemi terus dimasukan ?
- dipercayakan membagikan bansos, tapi dikorupsi.
- awal pandemi bukan waspda, tapi menyepelekan.
""Hasil dari Kardus""",2,1,1
"Inilah PPKM, proyek percepatan kemiskinan maayarakat https://t.co/EBFmNQdZy3",0,1,1
"Kami bekerja WFO selama PPKM taruhannya nyawa lo chief, anda masih meragukan imun kami haa",0,3,0
"@oreologiyy @vienbast @AREAJULID Yaps bener. Keadilan nya gak ada. Karna dia anak dan menantu orang terpandang di indonesia jadi mau ke ujung dunia pun gak akan di tangkap meskipun lagi ppkm. Coba kalo masyarakat kek kita, keluar dikit aja di jalan lgsg di razia polisi pas lagi ppkm gini.",1,3,2
"Kapolsek srumbung menyerahkan beras
Kepedulian Polri disaat diberlakukan PPKM Darurat menyalurkan Bantuan beras Kepada warga yg terdampak Covid 19. https://t.co/NGdihLdvSo",3,4,2
"@mametnk Faktanya kl ga disuruh punya sertifikat vaksin buat administrasi kyknya byk yg gamauk vaksin deh, di kantorku byk yg menolak vaksin tp pas persyaratan di manajemen yg masuk kerja hrs udah vaksin baru pada bergerak mau vaksin. Org2 perlu paksaan untuk mencapai kesejahteraan🤣",2,2,0
"@malakmalakmal Gara2 ppkm nyari kompor pun jadi susah, kasian si ibu, tersandera karena kebijakannya sendiri",0,1,1
"Selamat pagi, salam olahraga dan salam SKJ! 💪 Jangan lupa berolahraga SKJ Anti Covid-19 2021 sekarang, supaya terhindar dari Covid-19 Delta Plus. Terima kasih...! 😀🙏

#COVID19 #Covid19DeltaPlus

https://t.co/mykugaegWi",1,0,1
"@callister__ @ezash Pake masker yang bener dong Pak, yang mahalan dikit juga gapapa kita ngerti kan tunjangan bapak gede. Jgn berasa krn survivor dan udh vaksin jadi aman, Pak. Eh lupa dulu kena nya jg diem diem bae pan yaa...",2,3,1
Mau vaksin kedua mager bgttt apa ini efek vaksin yg pertama😳,0,1,1
"Duh....
Untunglah di RSUD yg deket desa ku ga gini banget.

Covid itu ada, menjangkiti dan membunuh kita. Kita harus waspada. 

Moga pandemi lekas berakhir 😔 https://t.co/s8Ic30z8K7",2,1,1
"@siwonchuyy negara kita dilarang masuk ke negara lain, tpi negara lain boleh masuk ke indonesia disaat pandemi 😅😅😅😅",3,4,2
"Kalaupun para menteri itu diberi gratis sebagai promo untuk program ini, atau bayar dari saku sendiri, tetap saja salah.

Disaat Pandemi meningkat di Tanah Air, malah vaksin premium di Amerika apa coba namanya kalau bukan Biadab 😭😭 https://t.co/N5yekzgBck",1,2,2
@TofaTofa_id Aksi mandiri nekat demi PPKM darurat?,0,1,1
"@drpriono1 PARIWISATA berbasis 3M,
PARIWISATA berbasis vaksin,
wabah bisa jadi BATU LONCATAN untuk EKONOMI MEROKET :)",0,1,1
"@ustadchen Berdamai dg Covid-19. Kalau terus2an takut dg dibentengi segala peraturan yg dibuat pemerintah (which is byk masyarakat yg protes ini itu) gak akan bisa mereda. Ini akan menjadi siklus. Tahun 2020 kita PSBB, tahun 2021 kita PPKM, tahun 2022 mau apa lagi?",0,1,1
Semakin menjauhi berita tentang kisruh PPKM tapi kok ada aja ya ngeliat berita kisruh penertiban para pedagang hadehhh kalo kata pak anu mah bae bae aje bro kalem santuy.....haha tai,3,4,2
"Awali harimu dengan kelembutan ☕

Lagi-lagi petugas serasa preman pasar, penertiban PPKM dengan cara Brutal 😠😤

https://t.co/XZzG4W6Eeo",2,3,2
"kalo di pesbuk gue berani bersuara soal pandemi
tp klo disini cuma bisa diam..
apa akun ini juga ikut disadap juga om dan tante?
3 tahun kan saia ga punya hp?
mau banned akun yg mana lagi? 
anjing2nya knp menjauh?
yeah ya knew me as well that i have the forbidden seal now..",3,4,2
"Beredarnya berita  Kabidhumas Polda Jatim menyatakan bahwa PPKM Darurat diperpanjang hingga 2 Agustus 2021 adalah:

HOAX!!

Ayo dulur Saring sebelum Sharing👍🏻

#jawatimurbangkit 
#jatimantihoax https://t.co/ppTvnwKSYa",2,1,1
@zarazettirazr Apa covid yang mengganas ini tidak ada kaitannya dengan VONIS IB HRS? Ummat jangan masak bodoh (dayus). Bala Allah turunkan jadi  merata karena semua pada DAYUS. Dayus itu adalah dosa. Masak bala sebegini hebat tidak ada campur tangan Allah? Kita masih ada iman atau sudah lepas?,3,0,2
"Cerita dikit tentang PPKM di kota gw ah. Tepat hari senin kmrn, kota tmpt gw tinggal akhirnya kena PPKM, sepi banget, kejadiannya persis pas kaya awal2 pandemi, ekonomi keluarga jadi ga stabil.",1,3,2
@republikaonline Kl covid skrg ini bs mencium menggunakan masker atau kl malah jd media penularan sementara waktu bs ditiadakan mencium hajar aswad krn menimbang mudhorotnya.,3,4,2
"Viral 'Suntik Kosong' Vaksin Corona Diduga Tak Dipencet, Ini Kata Kemenkes
https://t.co/1nsfhbAPbl https://t.co/EAUEP98NHf",1,0,1
"Update jam 10.30 (Vaksin 14/07/2021)
1. Badan Panas
2. Pusing
3. Nyeri nyeri",0,1,1
SEE!!!! ENGKAU YG SIHAT WALAFIAT PULAK TAKNAK P VAKSIN!! MEMILIH VAKSIN ITU INI!! BANA LAH!!! https://t.co/DAOBIcZ1iR,1,1,1
"@Ndons_Back Mahluk biadab,pake duit negara ditengah rakyat kesusahan 0ksigen,obat dll utk bertahan hidup lawan covid",3,4,2
@moonwooshi mjb...can relate banget...ini ada satu yg percaya covid tp gapercaya vaksin... bikin pusing kepala,1,1,1
"@subschfess PPKM

Pelan Pelan Kita Menangis",3,4,2
"@RomitsuT Biasa nya tim hore hore apapun nganu kasih siksaan
Vaksin berbayar di bela sampe berbuka busa",1,2,2
@MedanSoepriono @FaheemYounus Aku vaksin sinovac. pas sekitar ku positif allhamdulilah aku masih tetap bisa aktivitas normal tanpa gejala.,3,4,2
"@eliasyourbaby waktu pas pertama mah yg dapet sms konfrimasi aja yg bisa vaksin, tp gue liat di ig kabupaten nya yg vaksin pertama juga ada, kan jadi takutnya mbludak",3,4,2
Bye covid jangan dateng dateng lagi okkkkkkk??????,3,4,2
Perkiraan #GBPUSD: Pembukaan Kembali Diragukan Di Tengah Kemunculan Kembali Kasus Covid https://t.co/OaY5i8YbrN #Forex #Matauang https://t.co/fkAo49lyYa,3,4,2
"Terima kasih Bang ade @adearmando1 akhirnya anda berhasil,
Cc @Dennysiregar7
🙏👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
 BPOM Izinkan Ivermectin Jadi Obat Covid-19 https://t.co/RgWzHPOjeo",0,1,1
"Vaksin nya besok pusingnya skrg,",3,4,2
"@EkaWahy53997626 Tidak juga, saya taat tapi tidak di jamin kok sama pemerintah, taat karna kesadaran, taat  Karna saya sudah capek ppkm, capek lihat kenyataan pandemi covid di indonesia  masih tinggi ekonomi menurun",3,4,2
FARMASI PON TAK HANTAR VAKSIN LAGI AKU DAH SMPAI HAHAHAHAHA PE JADAH,1,0,2
@jaehyuntkj tinggal vaksin,0,1,0
"@KADIN_Indonesia Halo, jika sudah terdaftar vaksin gotong royong oleh pemerintah namun belum mendapatkan vaksinasi apakah bisa mengikuti program vaksinasi gratis pemerintah via penyelenggaraan di desa/kota?",3,4,2
Covid dijadiin bisnis? Bro jaman sekarang gada yg gratis itu penanganan covid gratis aja masih lu bilang bisnis asu,3,4,2
@sibelang69 Wkwkwk.. PPKM om.. bikin susah apdet yo? Hahaha,0,3,0
"@Lis_List Ayo semangat kita pasti bisa lewati pandemi 

@TinPusher688 
@ahdada8 
@beujwwon",2,2,0
GOR Matraman Akan Dilengkapi Wifi untuk Dukung Isolasi Mandiri Pasien Covid-19 - https://t.co/SI6Tv2Ba8i https://t.co/KDifsON3hB,2,2,2
"Karena Imunitas tubuh di masa Pandemi ini sangat perlu diperhatikan. Maka dari itu, jangan salah pilih suplemen kesehatan 😉 https://t.co/JIdczxUyuY",3,4,2
"@n_nandomo @eko_kuntadhi Itu twitt skrn udah ngak relevan bro…itu awal pandemi, ngak usah diulang2, kl ngak bs bantah twitnya eko ini, mending diem dr pd pake bahan yg ngak nyambung n basi kyk gitu 👆🏽😂",1,0,2
@RestyCayaaah Lg acting d tengah pandemi jang,3,4,2
@yaniprawiro1 @Gu5Putr4 @Innayaputri72 ngurus surat2 di kelurahan ap hrs pake kartu vaksin?,3,4,2
Jessica Biel Berbagi Tugas Mengasuh Anak dengan Justin Timberlake Selama Pandemi https://t.co/Jp6BoTyRd7 #TempoCantik,3,4,2
Beneran harus cari crush nih gue kayanya biar beneran ada yg dikangenin wkwkwk tapi cari cowo dimanaaa orang pada ppkm hadahhhhh 😩😩😩😩,3,4,2
@txtdarisisange Ada engga nya ppkm tetep aja ga bisa cuddle any eweuh baturna:(,0,1,1
"Waktu setting koneksi wifi ketua acaranya, w sempet liat dia kerja di rumah sakit Omni dan cerita udah gak pernah ke kantor 4 bulan ini selalu di lapangan handle vaksin. Mantap bu! Tetap semangat kalian semua petugas medis 🔥",0,1,1
ppkm silid https://t.co/5BC8IXzkMd,1,1,2
"@ustadchen @bruninnic Andai ga ada duit yg dikorupsi

Terus polosnya pemerintah bilang ""duit darimana buat lockdown?"" Wkwk",3,4,2
selama pandemi baru se-parno ini pilek karena panasnya cuma dikepala aja😭😭,3,4,2
"Banyaknya kerumunan untuk vaksin, memperjelas 'konspirasi' siapa yang berhasil mempengaruhi masyarakat. Apalagi dibayang2-dibayangi persyaratan yg berkaitan dg 'administrasi'.",3,4,2
Tentang Pemberian Fasilitas Kepabeanan Dan/Atau Cukai Serta Perpajakan Atas Impor Barang Untuk Penanganan COVID-19. #PPKMDaruratBerantasCovid https://t.co/cYra5bFNG6,3,4,2
"https://t.co/hEecvw1aO0
Orang ini kan yg kena pacatt sama pak jokowi  sama kaya si didu di pecat juga sama ibu RETNO...",3,4,2
"Baru masuk SMA, 8 bulan eh lockdown trus tbtb udah kelas 12 aja gilaa secepat itu ya uda mau lulus aja :)",0,3,0
Aku mau vaksin hari ini guys doakan tkt banget sm jarum wkwk😭,0,2,2
@aaripurnomo masih ga percaya sama covid ga ri?,3,4,2
Pencanangan program sinergitas untuk melawan Covid-19 secara bersama-sama itu dilakukan di depan Kantor Palang Merah Indonesia (PMI) Cabang Tuban,1,3,2
@tempodotco Lagi pandemi gini mending PON ditunda aja...,3,4,2
Efek vaksin. Linu sebadan2. Mana vaksinnya barengan. Jd bingung mau minta tolong apa2 tp dianya jg linu wkwkwk. Tp emang keluarga mager aja ini macem singa laut goleran baee,3,4,2
"Setelah pernah disurati menteri Erick Thohir, akhirnya ivermectin mendapatkan izin penggunaan oleh BPOM. Sebagai obat terapi Covid-19.

Ini optimisme baru!! https://t.co/xoR1DT86xK",2,1,2
"Ngomongin teman2nya

https://t.co/N57PrklEWL",2,2,2
"Menyampaikan Himbauan Patuhilah Protokol Kesehatan Cegah Covid-19
.
JAGOAN PALEMBANG
JAGO PALEMBANG !

@DivHumas_Polri
@ditbinmaspoldas
@irvanprawira
@BinmasUlu2 https://t.co/0CMxompPhj",2,0,2
"Sebagian bilang dan menyuarakan untuk dirumah aja dan taat ppkm dan prokes, biasanya mereka ini yg masih punya tabungan, dan gaji yg gak berdampak serius. Tp kalau pedagang yg cuma bergantung dr jualanya, trus jualanya gak maksimal, gimana kisahnya ya?",0,1,1
"Cape cape buat aturan PPKM tapi di langgar terus ,Saran aja si ini mah mending Pom bensin nya seluruh jawa bali di tutup kelar solusi gada yang keluar rumah asli da 😆",1,1,1
"keren bgt pokoknya bisa ttp buka despite ppkm 👍

soalnya matahari singosaren tutup, gm tutup, samsung service center tutup. keren bgt dah ttp buka👍👍👍👍👍👍👍👍👍👍👍👍👍
😀 keren bgt.

wkwk mantap dah keren bgt banget bangetttttt😀😀😀😀",0,2,1
@ustadchen Klo fokus di bagaimana agar reda sih tinggal lockdown total ya bah. Tp masalahnya klo lockdown pemerintah harus tanggung jawab penuh utk kebutuhan tiap kepala. Pemerintah mana mau.,1,1,1
@QaillaAsyiqah @hdriannur Waduh bakal ada cluster antrian vaksin nih !,3,4,2
"@ustadchen pemerintah gausah mikirin ibukota baru dulu supaya biaya swab lebih murah bahkan bisa gratis dengan hasil keluar yang cepat, sama sebisa mungkin dana bansos yang dikorup harus balik supaya orang2 yang terdampak covid gak bingung dan seenggaknya masih santai buat uang makan",1,1,1
@BossTemlen tapi bagusnya loby mereka disana kita dapat 50jt vaksin pfzier. Walau ini telat gara2 terawan.,3,4,2
Tentang Pemberian Fasilitas Kepabeanan Dan/Atau Cukai Serta Perpajakan Atas Impor Barang Untuk Penanganan COVID-19. #PPKMDaruratBerantasCovid https://t.co/MLivtUZWS2,1,3,0
"@jilulisme @humas_jogja @Jogja24Jam Masih kyk gini dan kemarin di pusat berani2nya mau jual vaksin.

Sakit.",3,4,2
"@ruhbanullail @Ceuceu_Corason @Innayaputri72 Makasih info tambahannya Ar, sampe hari ini masih ngenes, masih gk percaya aam dah gk ada, rani kemarin sempet cerita, setelah bbrp hr habis vaksin kl gk salah meeting. soalnya da nopi ambil kesimpulan, krn deket rumah jg ada yg meninggal padahal sdh divaksin jg.",0,1,1
Ivermectin Dapat izin Penggunaan Darurat Dari  BPOM Untuk Obat Terapi Covid https://t.co/VSR1TddGLx,3,4,2
Lockdown aja tiga minggu kelar.,2,0,0
"PPKM nya Jalan,
RAKYATnya Kelaparan ?

#PresidenGagalWajibDiganti https://t.co/GZn6dRrHnL",3,4,2
"Apa BENAR ?
--- https://t.co/bBcasiZmAK",3,4,2
"""Nakes itu juga manusia. Mereka butuh hal tersebut (joged tiktok dan apapun yg bisa buat bahagia) karena itu akan menambah imun nakes kita ditengah melonjaknya pasien covid akhir2 ini.",0,2,0
"@makLambeTurah Emang covid ogah masuk yah, kl pake yg mahal??. Beli ahhh😊😊",3,4,2
Ppkm membuat voucher shopeeku terbuang sia-sia☹️,3,4,2
@MohKeIpoh bila la nak dapat vaksin.... ermmmm,3,4,2
"@OposisiCerdas Biang kerok , dan tak punya rasa prikemanusian vaksin di jual belikan. https://t.co/6iDQq4SiyA",0,1,1
@Beritasatu Apa covid yang mengganas ini tidak ada kaitannya dengan VONIS IB HRS? Ummat jangan masak bodoh (dayus). Bala Allah turunkan jadi  merata karena semua pada DAYUS. Dayus itu adalah dosa. Masak bala sebegini hebat tidak ada campur tangan Allah? Kita masih ada iman atau sudah lepas?,3,4,2
Vaksin semakin susah ya euy. Berebut.,1,1,1
Istri Gubernur Sulawesi Tenggara Meninggal Akibat Terpapar Covid-19 https://t.co/YI450aaGIv,3,4,2
"Update jam 00.00 semalam yang dialami (Vaksin tgl 14/07/2021)
1. Menggigil
2. Sakit Kepala Belakang",3,4,2
Sri Mulyani Bebaskan Pajak Impor Oksigen hingga 'Obat' COVID-19 #PPKMDaruratBerantasCovid https://t.co/iXail1vgrm,1,3,0
"Di tengah kasus pandemi yang sedang meroket, pemerintah malah melakukan pinjaman luar negeri. Bukan untuk kebutuhan mengatasi pandemi, akan tetapi untuk biaya pengoperasian awal Kereta Cepat Jakarta Bandung (KCJB). Bagaimana Islam memandang masalah ini? https://t.co/QrYMRpctOv",0,1,1
